area_id,area_type,municipality,block,treatment,registered,turnout,hollande_share
P_78486_5,Precinct,Le Perray-en-Yvelines,2957,1,967,0.7962771654129028,0.28684210777282715
M_77016,Municipality,Bagneaux-sur-Loing,2915,1,1042,0.834932804107666,0.2605140209197998
M_77372,Municipality,Pomponne,2887,0,2265,0.7885209918022156,0.24843661487102509
P_92072_13,Precinct,Sèvres,3419,0,959,0.787278413772583,0.3910690248012543
P_77079_4,Precinct,Champagne-sur-Seine,2866,1,753,0.7861886024475098,0.32474225759506226
P_78123_8,Precinct,Carrières-sous-Poissy,2939,1,984,0.7164633870124817,0.41642650961875916
P_77083_5,Precinct,Champs-sur-Marne,2867,1,1184,0.7643581032752991,0.4002254903316498
P_75112_1224,Precinct,"Paris, 12e arrondissement",2760,0,1413,0.7919320464134216,0.4067029058933258
P_91086_1,Precinct,Bondoufle,3328,1,1126,0.8028419017791748,0.28393664956092834
P_95051_5,Precinct,Beauchamp,3515,1,864,0.7719907164573669,0.23619632422924042
P_92025_18,Precinct,Colombes,3398,1,1255,0.7362549901008606,0.445061057806015
P_91272_4,Precinct,Gif-sur-Yvette,3347,1,1056,0.8323863744735718,0.3126436769962311
P_91272_7,Precinct,Gif-sur-Yvette,3347,1,1022,0.78669273853302,0.4158163368701935
P_78297_10,Precinct,Guyancourt,2949,1,1347,0.788418710231781,0.3638095259666443
P_91477_2,Precinct,Palaiseau,3368,1,1333,0.7801950573921204,0.3470185697078705
P_94028_25,Precinct,Créteil,3480,0,1172,0.744027316570282,0.48881036043167114
P_77431_2,Precinct,Saint-Pierre-lès-Nemours,2902,0,990,0.7989898920059204,0.311053991317749
P_78418_10,Precinct,Montesson,2969,1,832,0.828125,0.21929824352264404
P_95369_2,Precinct,Margency,3512,1,1044,0.8419540524482727,0.22068965435028076
P_78418_7,Precinct,Montesson,2969,0,1325,0.7607547044754028,0.27558258175849915
P_95205_3,Precinct,Ecouen,3524,1,1311,0.7841342687606812,0.31306082010269165
P_91182_6,Precinct,Courcouronnes,3337,1,901,0.7358490824699402,0.5404580235481262
P_95203_11,Precinct,Eaubonne,3523,1,1086,0.7928176522254944,0.2975206673145294
M_95409,Municipality,Moisselles,3517,0,730,0.800000011920929,0.2195121943950653
P_92014_8,Precinct,Bourg-la-Reine,3391,1,972,0.7962962985038757,0.3565789461135864
P_94038_14,Precinct,L'Hay-les-Roses,3487,1,991,0.7013118267059326,0.5430266857147217
P_91386_3,Precinct,Mennecy,3362,1,1075,0.7813953757286072,0.239130437374115
P_75106_605,Precinct,"Paris, 6e arrondissement",2781,1,1149,0.8146213889122009,0.3149350583553314
P_75106_606,Precinct,"Paris, 6e arrondissement",2781,1,1142,0.8029772043228149,0.32236841320991516
P_75112_1257,Precinct,"Paris, 12e arrondissement",2760,1,1531,0.8236446976661682,0.4678972661495209
P_94043_16,Precinct,Le Kremlin-Bicêtre,3489,0,878,0.7391799688339233,0.374213844537735
P_95277_10,Precinct,Gonesse,3530,1,1004,0.6772908568382263,0.4751131236553192
P_95277_12,Precinct,Gonesse,3530,1,1002,0.6457085609436035,0.4369085133075714
P_77373_2,Precinct,Pontault-Combault,2907,1,1120,0.6919642686843872,0.3855263292789459
P_77083_4,Precinct,Champs-sur-Marne,2867,1,1341,0.7390007376670837,0.39356178045272827
M_91021,Municipality,Arpajon,3324,1,5931,0.7585567235946655,0.2774762511253357
M_95660,Municipality,Villaines-sous-Bois,3517,1,470,0.8680850863456726,0.22580644488334656
P_95487_2,Precinct,Persan,3532,0,920,0.770652174949646,0.3028571307659149
P_91182_9,Precinct,Courcouronnes,3337,0,986,0.749492883682251,0.5330578684806824
P_94043_14,Precinct,Le Kremlin-Bicêtre,3489,1,1019,0.7193326950073242,0.4066390097141266
P_92032_17,Precinct,Fontenay-aux-Roses,3401,0,903,0.7929125428199768,0.3792613744735718
P_78335_12,Precinct,Limay,2961,0,715,0.748251736164093,0.427756667137146
P_92048_24,Precinct,Meudon,3409,1,968,0.7293388247489929,0.3457675874233246
P_95205_4,Precinct,Ecouen,3524,1,1116,0.8046594858169556,0.2986425459384918
P_78335_8,Precinct,Limay,2961,1,663,0.7254902124404907,0.44635194540023804
M_77489,Municipality,Vaux-sur-Lunain,2892,1,133,0.8120300769805908,0.2641509473323822
P_77083_7,Precinct,Champs-sur-Marne,2867,0,1285,0.7463034987449646,0.42110875248908997
P_93048_50,Precinct,Montreuil,3447,1,927,0.7033441066741943,0.3993759751319885
P_77284_15,Precinct,Meaux,2894,1,1360,0.6985294222831726,0.4440860152244568
P_95555_7,Precinct,Saint-Gratien,3547,0,1118,0.7093023061752319,0.40482234954833984
P_77284_16,Precinct,Meaux,2894,1,1423,0.6907941102981567,0.5072916746139526
P_77373_17,Precinct,Pontault-Combault,2907,1,925,0.7502702474594116,0.315866082906723
P_94077_10,Precinct,Villeneuve-le-Roi,3507,0,924,0.7186146974563599,0.37422358989715576
P_75105_501,Precinct,"Paris, 5e arrondissement",2780,1,1463,0.8195488452911377,0.33164557814598083
P_75107_707,Precinct,"Paris, 7e arrondissement",2782,1,1375,0.8327272534370422,0.21365247666835785
P_95476_6,Precinct,Osny,3543,1,1390,0.7669064998626709,0.36622390151023865
P_75103_313,Precinct,"Paris, 3e arrondissement",2778,1,1383,0.8040491938591003,0.4300000071525574
P_78361_18,Precinct,Mantes-la-Jolie,2963,1,1134,0.6410934925079346,0.6878530979156494
P_94042_6,Precinct,Joinville-le-Pont,3486,1,1047,0.7478510141372681,0.42153048515319824
P_92049_21,Precinct,Montrouge,3410,1,984,0.7510162591934204,0.39557400345802307
P_95500_16,Precinct,Pontoise,3545,1,843,0.7295373678207397,0.3196721374988556
P_75110_1009,Precinct,"Paris, 10e arrondissement",2756,1,1456,0.7980769276618958,0.36125653982162476
P_77122_7,Precinct,Combs-la-Ville,2871,0,1063,0.7234242558479309,0.40682414174079895
P_78297_4,Precinct,Guyancourt,2949,0,1711,0.7843366265296936,0.3919939696788788
P_91027_1,Precinct,Athis-Mons,3325,1,1138,0.7706502676010132,0.43779343366622925
P_92048_17,Precinct,Meudon,3409,1,927,0.7389428019523621,0.32983508706092834
P_94080_11,Precinct,Vincennes,3509,1,972,0.7839506268501282,0.31466665863990784
P_91114_12,Precinct,Brunoy,3332,1,973,0.7810894250869751,0.27453580498695374
P_92062_3,Precinct,Puteaux,3414,0,1049,0.7979027628898621,0.24213075637817383
P_75112_1213,Precinct,"Paris, 12e arrondissement",2761,1,1521,0.8178829550743103,0.4017784893512726
P_78361_21,Precinct,Mantes-la-Jolie,2963,1,617,0.6191247701644897,0.7165775299072266
P_75112_1245,Precinct,"Paris, 12e arrondissement",2760,1,1262,0.759112536907196,0.40189874172210693
P_95203_10,Precinct,Eaubonne,3523,1,1431,0.7442348003387451,0.3256705105304718
P_92044_28,Precinct,Levallois-Perret,3407,0,975,0.8041025400161743,0.3432258069515228
M_77504,Municipality,Villemaréchal,2892,1,619,0.8901454210281372,0.23880596458911896
P_75110_1030,Precinct,"Paris, 10e arrondissement",2756,0,1505,0.7953488230705261,0.3767993152141571
P_78029_3,Precinct,Aubergenville,2934,1,900,0.6855555772781372,0.38860970735549927
P_95607_11,Precinct,Taverny,3553,1,1090,0.7128440141677856,0.32457292079925537
P_77171_1,Precinct,Esbly,2880,1,1306,0.8185298442840576,0.2350710928440094
P_92019_13,Precinct,Châtenay-Malabry,3393,1,1076,0.8447955250740051,0.3661814033985138
P_92032_7,Precinct,Fontenay-aux-Roses,3401,1,795,0.753459095954895,0.3440134823322296
P_94021_2,Precinct,Chevilly-Larue,3477,1,1109,0.7835888266563416,0.3170163035392761
P_92025_34,Precinct,Colombes,3398,1,1161,0.7269595265388489,0.49635037779808044
P_91514_3,Precinct,Quincy-sous-Sénart,3369,1,1353,0.7775313854217529,0.43313953280448914
P_95555_5,Precinct,Saint-Gratien,3547,1,1256,0.7213375568389893,0.516968309879303
P_75106_604,Precinct,"Paris, 6e arrondissement",2781,1,1100,0.7736363410949707,0.31780168414115906
P_91326_3,Precinct,Juvisy-sur-Orge,3349,1,958,0.7672233581542969,0.3509749174118042
P_93031_15,Precinct,Epinay-sur-Seine,3434,0,777,0.6859716773033142,0.5645471811294556
P_94080_13,Precinct,Vincennes,3509,0,795,0.7987421154975891,0.3487261235713959
P_94079_8,Precinct,Villiers-sur-Marne,3508,1,999,0.8038038015365601,0.3780025243759155
P_95051_1,Precinct,Beauchamp,3515,1,708,0.7951977252960205,0.22262118756771088
M_77405,Municipality,Saint-Cyr-sur-Morin,2915,1,1351,0.787564754486084,0.21113243699073792
P_77122_12,Precinct,Combs-la-Ville,2871,1,1013,0.7097729444503784,0.44635194540023804
P_95052_5,Precinct,Beaumont-sur-Oise,3532,1,1171,0.7822374105453491,0.4241071343421936
P_91421_3,Precinct,Montgeron,3363,1,1428,0.7689075469970703,0.25782689452171326
P_75104_414,Precinct,"Paris, 4e arrondissement",2779,1,1183,0.7768385410308838,0.3883388340473175
M_77500,Municipality,Villebéon,2892,1,392,0.795918345451355,0.2142857164144516
P_91086_4,Precinct,Bondoufle,3328,1,829,0.7937273979187012,0.30877742171287537
P_95607_3,Precinct,Taverny,3553,1,722,0.7562326788902283,0.29643526673316956
P_94017_30,Precinct,Champigny-sur-Marne,3474,1,1153,0.6947094798088074,0.39443743228912354
P_77083_10,Precinct,Champs-sur-Marne,2867,1,1488,0.7419354915618896,0.3819188177585602
P_75104_413,Precinct,"Paris, 4e arrondissement",2779,1,1518,0.8017127513885498,0.37728026509284973
P_92025_22,Precinct,Colombes,3399,1,839,0.7580453157424927,0.4329073429107666
P_77122_11,Precinct,Combs-la-Ville,2871,1,1038,0.7302504777908325,0.39434725046157837
P_92062_11,Precinct,Puteaux,3414,1,856,0.7757009267807007,0.3102918565273285
P_92002_27,Precinct,Antony,3387,1,932,0.7693132758140564,0.39316239953041077
P_75105_524,Precinct,"Paris, 5e arrondissement",2780,0,1442,0.8196948766708374,0.39675769209861755
P_91386_1,Precinct,Mennecy,3362,1,935,0.7796791195869446,0.2203626185655594
P_92032_3,Precinct,Fontenay-aux-Roses,3401,1,903,0.7729789614677429,0.3619185984134674
P_77288_15,Precinct,Melun,2895,1,1186,0.7015177011489868,0.4017305374145508
P_95183_4,Precinct,Courdimanche,3520,1,835,0.8371257781982422,0.30523255467414856
P_92019_18,Precinct,Châtenay-Malabry,3393,1,1022,0.747553825378418,0.42547425627708435
M_95331,Municipality,Lassy,3556,1,131,0.8396946787834167,0.2752293646335602
P_94003_3,Precinct,Arcueil,3469,1,947,0.7444561719894409,0.37845706939697266
P_77514_11,Precinct,Villeparisis,2929,1,1092,0.6996337175369263,0.33112582564353943
P_94033_23,Precinct,Fontenay-sous-Bois,3481,1,838,0.7577565908432007,0.39004814624786377
P_78490_17,Precinct,Plaisir,2976,1,769,0.708712637424469,0.6363636255264282
P_95487_5,Precinct,Persan,3532,1,808,0.6720296740531921,0.37714284658432007
P_77288_12,Precinct,Melun,2895,0,1050,0.692380964756012,0.3974895477294922
P_78126_7,Precinct,La Celle-Saint-Cloud,2953,1,1256,0.7778662443161011,0.2802083194255829
P_92049_24,Precinct,Montrouge,3410,1,1183,0.7438715100288391,0.40162980556488037
P_95014_1,Precinct,Andilly,3512,1,747,0.7925033569335938,0.25601375102996826
P_94043_2,Precinct,Le Kremlin-Bicêtre,3489,1,995,0.7467336654663086,0.40976932644844055
P_94033_13,Precinct,Fontenay-sous-Bois,3481,1,1071,0.752567708492279,0.312421590089798
P_92049_27,Precinct,Montrouge,3410,1,923,0.7573131322860718,0.3883211612701416
P_77468_3,Precinct,Torcy,2924,1,1215,0.7440329194068909,0.45474860072135925
P_95205_2,Precinct,Ecouen,3524,1,947,0.7750791907310486,0.29322269558906555
P_75107_716,Precinct,"Paris, 7e arrondissement",2782,0,1229,0.8128559589385986,0.18034447729587555
P_95183_1,Precinct,Courdimanche,3520,1,862,0.8190255165100098,0.29855072498321533
P_95199_10,Precinct,Domont,3522,1,1025,0.7960975766181946,0.2860727608203888
P_94080_24,Precinct,Vincennes,3509,1,965,0.810362696647644,0.33591732382774353
P_91122_2,Precinct,Bures-sur-Yvette,3334,1,795,0.8213836550712585,0.3317756950855255
P_92025_32,Precinct,Colombes,3398,1,1072,0.7481343150138855,0.5114213228225708
P_93048_22,Precinct,Montreuil,3447,0,1179,0.6853265762329102,0.4392991364002228
M_91103,Municipality,Brétigny-sur-Orge,3333,0,14644,0.7636574506759644,0.3181900680065155
P_95183_5,Precinct,Courdimanche,3520,0,853,0.8042203783988953,0.36094674468040466
P_95277_8,Precinct,Gonesse,3530,1,965,0.6652849912643433,0.5859246850013733
P_94074_4,Precinct,Valenton,3503,1,832,0.7115384340286255,0.41196581721305847
P_91514_2,Precinct,Quincy-sous-Sénart,3369,1,1178,0.8132427930831909,0.2738853394985199
P_91377_21,Precinct,Massy,3361,1,1185,0.7147679328918457,0.4585365951061249
P_78015_3,Precinct,Andrésy,2933,1,869,0.7733026742935181,0.2465960681438446
P_75112_1228,Precinct,"Paris, 12e arrondissement",2760,1,1273,0.7886881232261658,0.3573603928089142
P_78498_21,Precinct,Poissy,2977,1,1050,0.7257142663002014,0.3435419499874115
M_78437,Municipality,Mousseaux-sur-Seine,2937,1,540,0.7648147940635681,0.19656018912792206
P_91421_9,Precinct,Montgeron,3363,1,1040,0.7250000238418579,0.45355191826820374
P_75104_406,Precinct,"Paris, 4e arrondissement",2779,1,1585,0.832176685333252,0.37164750695228577
P_75105_515,Precinct,"Paris, 5e arrondissement",2780,1,1467,0.8139059543609619,0.3962743580341339
P_77171_3,Precinct,Esbly,2880,1,1333,0.7629407644271851,0.2327672392129898
P_78311_9,Precinct,Houilles,2951,1,1189,0.7359125018119812,0.3128620982170105
P_91514_4,Precinct,Quincy-sous-Sénart,3369,1,1061,0.8124411106109619,0.30751174688339233
P_78297_2,Precinct,Guyancourt,2949,1,1445,0.7453287243843079,0.395480215549469
P_78490_7,Precinct,Plaisir,2976,0,810,0.7419753074645996,0.5117844939231873
P_75110_1013,Precinct,"Paris, 10e arrondissement",2756,1,1389,0.8034557104110718,0.46727272868156433
P_91477_14,Precinct,Palaiseau,3368,1,1079,0.7664504051208496,0.3584672510623932
P_78358_2,Precinct,Maisons-Laffitte,2962,1,1008,0.7698412537574768,0.22018349170684814
P_78126_8,Precinct,La Celle-Saint-Cloud,2953,1,1262,0.7210776805877686,0.39977604150772095
P_91421_12,Precinct,Montgeron,3363,1,921,0.7600434422492981,0.268328458070755
P_78418_1,Precinct,Montesson,2969,1,828,0.7971014380455017,0.2764976918697357
P_92025_37,Precinct,Colombes,3399,1,1159,0.7627264857292175,0.43742823600769043
P_78486_2,Precinct,Le Perray-en-Yvelines,2957,1,974,0.77823406457901,0.2840000092983246
P_77171_2,Precinct,Esbly,2880,0,1140,0.8526315689086914,0.27679499983787537
P_91589_14,Precinct,Savigny-sur-Orge,3377,1,799,0.767208993434906,0.45622894167900085
M_95026,Municipality,Asnières-sur-Oise,3556,0,1957,0.8022483587265015,0.19843851029872894
